SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Complexity,Category
21,"Which method checks whether an element is displayed?","element.isVisible()","element.isDisplayed()","element.isPresent()","element.isShown()",B,Simple,Interactions
22,"Which method checks whether an element is enabled?","element.isEnabled()","element.isActive()","element.isClickable()","element.isAvailable()",A,Simple,Interactions
23,"Which method checks whether a checkbox or radio button is selected?","element.isChecked()","element.isSelected()","element.getSelected()","element.hasSelection()",B,Simple,Interactions
24,"Which method retrieves an HTML attribute value?","element.getAttribute(""name"")","element.readAttribute(""name"")","element.attribute(""name"")","element.getHtmlValue(""name"")",A,Simple,Interactions
25,"Which method retrieves a CSS property value from an element?","element.getCssValue(""color"")","element.getStyle(""color"")","element.css(""color"")","element.readCss(""color"")",A,Simple,Interactions
26,"Which locator strategy is commonly preferred when the value is unique and stable?","ID","Tag name","Partial link text","Absolute XPath",A,Simple,Locators
27,"Which statement locates an element by ID in Java?","driver.findElement(By.id(""username""))","driver.findElement(By.ID(""username""))","driver.locate(By.id(""username""))","driver.getById(""username"")",A,Simple,Locators
28,"Which statement locates an element by its name attribute?","driver.findElement(By.name(""email""))","driver.findElement(By.attribute(""name"" ""email""))","driver.findElement(By.tagName(""email""))","driver.findElement(By.id(""name=email""))",A,Simple,Locators
29,"Which locator finds an anchor using its complete visible text?","By.linkText()","By.text()","By.anchorText()","By.visibleText()",A,Simple,Locators
30,"Which locator finds an anchor using part of its visible text?","By.containsText()","By.partialLinkText()","By.partialText()","By.linkContains()",B,Simple,Locators
31,"Which locator finds elements by HTML tag name?","By.elementName()","By.htmlTag()","By.tagName()","By.nodeName()",C,Simple,Locators
32,"Which locator finds elements using a CSS selector?","By.cssSelector()","By.css()","By.selector()","By.styleSelector()",A,Simple,Locators
33,"Which locator finds elements using XPath?","By.path()","By.xmlPath()","By.xpath()","By.xPathSelector()",C,Simple,Locators
34,"Which CSS selector locates an input with name=""email""?","input.name=email","input[name='email']","input#name=email","//input[@name='email']",B,Simple,Locators
35,"Which CSS selector locates an element with id=""loginButton""?",".loginButton","#loginButton","loginButton#","[class='loginButton']",B,Simple,Locators
36,"Which CSS selector locates elements with class=""error""?","#error","error.",".error","[id='error']",C,Simple,Locators
37,"Which XPath selects all input elements?","//input","/all/input","input//*","//*[input]",A,Simple,XPath
38,"Which XPath locates a button with exact text Login?","//button[text()='Login']","button[text='Login']","//button[@text='Login']","/button[contains='Login']",A,Simple,XPath
39,"Which XPath function is useful when only part of an attribute value is stable?","starts()","contains()","partial()","includesAttribute()",B,Simple,XPath
40,"Which XPath expression selects an element by a data-testid attribute?","//*[@data-testid='save']","//*[data-testid='save']","//*[@data-testid==save]","/data-testid/save",A,Simple,XPath
41,"What is an implicit wait?","A fixed sleep after every action","A global timeout used while locating elements","A wait only for alerts","A browser startup delay",B,Simple,Waits
42,"Which Java class is commonly used for an explicit wait?","BrowserWait","WebDriverWait","DriverSleep","ElementTimer",B,Simple,Waits
43,"What is an explicit wait?","A condition-based wait with a timeout","A fixed Thread.sleep()","A Grid queue timeout","A test execution timeout only",A,Simple,Waits
44,"Which expected condition waits until an element is present in the DOM?","presenceOfElementLocated()","visibilityOfElementLocated()","elementToBeClickable()","invisibilityOfElementLocated()",A,Simple,Waits
45,"Which expected condition waits until an element is visible?","elementExists()","visibilityOfElementLocated()","presenceOnly()","pageContainsElement()",B,Simple,Waits
46,"Which expected condition waits until an element is visible and enabled?","elementToBeClickable()","elementToBeSelected()","presenceOfElementLocated()","stalenessOf()",A,Simple,Waits
47,"Which exception is commonly thrown when an element cannot be found?","ElementNotFoundError","NoSuchElementException","MissingElementException","LocatorFailureException",B,Simple,Exceptions
48,"Which exception indicates that an old element reference is no longer attached to the DOM?","TimeoutException","StaleElementReferenceException","InvalidElementStateException","NoAlertPresentException",B,Simple,Exceptions
49,"Which exception commonly occurs when another element blocks a click?","ElementClickInterceptedException","ElementNotSelectableException","InvalidSelectorException","SessionNotCreatedException",A,Simple,Exceptions
50,"Which exception is thrown when a wait condition is not satisfied within the configured time?","TimeoutException","WaitFailedException","PollingException","DelayedElementException",A,Simple,Exceptions
51,"Why is Thread.sleep() generally less desirable than an explicit wait?","It cannot pause Java","It always waits the full duration regardless of readiness","It closes the browser","It changes the locator",B,Simple,Waits
52,"Which class is used for native HTML select dropdowns?","Dropdown","Select","OptionList","Choice",B,Simple,Interactions
53,"Which method selects a dropdown option by visible text?","selectByText()","selectByVisibleText()","chooseVisibleText()","selectText()",B,Simple,Interactions
54,"Which method selects a dropdown option by value attribute?","selectByValue()","selectValue()","chooseByValue()","selectAttribute()",A,Simple,Interactions
55,"Which method selects a dropdown option by index?","selectIndex()","chooseByIndex()","selectByIndex()","getOptionByIndex()",C,Simple,Interactions
56,"Which method returns whether a select element allows multiple selection?","isMultiple()","supportsMany()","isMultiSelectEnabled()","allowsMultiple()",A,Simple,Interactions
57,"Which command accepts a JavaScript alert?","driver.acceptAlert()","driver.switchTo().alert().accept()","driver.alert().click()","driver.switchTo().accept()",B,Simple,Alerts
58,"Which command dismisses a JavaScript confirmation dialog?","driver.switchTo().alert().dismiss()","driver.closeAlert()","driver.switchTo().alert().cancel()","driver.dismiss()",A,Simple,Alerts
59,"Which method retrieves the text displayed in an alert?","alert.getMessage()","alert.getText()","alert.read()","alert.getContent()",B,Simple,Alerts
60,"How is text entered into a JavaScript prompt?","driver.switchTo().alert().sendKeys(""Test"")","driver.prompt().type(""Test"")","driver.alert().setValue(""Test"")","driver.switchTo().prompt().write(""Test"")",A,Simple,Alerts
61,"Which command switches to an iframe using its WebElement?","driver.switchTo().frame(frameElement)","driver.navigate().frame(frameElement)","driver.frame(frameElement)","driver.switchFrame(frameElement)",A,Simple,Frames
62,"Which command returns directly to the top-level document from any iframe depth?","driver.switchTo().parentFrame()","driver.switchTo().defaultContent()","driver.navigate().back()","driver.switchTo().window(0)",B,Simple,Frames
63,"Which command moves from the current iframe to its immediate parent frame?","driver.switchTo().parentFrame()","driver.switchTo().defaultContent()","driver.frameUp()","driver.navigate().up()",A,Simple,Frames
64,"Which method returns the current browser window handle?","driver.getWindowHandle()","driver.getCurrentWindow()","driver.getWindow()","driver.currentHandle()",A,Simple,Windows
65,"Which method returns all open window handles?","driver.getWindows()","driver.getAllWindows()","driver.getWindowHandles()","driver.getOpenTabs()",C,Simple,Windows
66,"Which command switches to a browser window using its handle?","driver.switchTo().window(handle)","driver.window(handle)","driver.navigate().window(handle)","driver.switchWindow(handle)",A,Simple,Windows
67,"Which Selenium 4 command creates and switches to a new tab?","driver.newTab()","driver.switchTo().newWindow(WindowType.TAB)","driver.navigate().newTab()","driver.openTab()",B,Simple,Windows
68,"Which class is commonly used for mouse and keyboard composite actions?","Actions","Select","WebDriverWait","BrowserInput",A,Simple,Actions
69,"Which Actions method moves the mouse pointer over an element?","hover()","moveToElement()","mouseOver()","pointTo()",B,Simple,Actions
70,"Which Actions method performs a double-click?","doubleClick()","clickTwice()","multiClick()","repeatClick()",A,Simple,Actions
71,"Which Actions method performs a context or right-click?","rightClick()","contextClick()","secondaryClick()","menuClick()",B,Simple,Actions
72,"Which method sends a constructed Actions sequence to the browser?","execute()","run()","perform()","start()",C,Simple,Actions
73,"Which Java interface is commonly used to capture screenshots?","TakesScreenshot","ScreenCapture","ScreenshotDriver","CaptureBrowser",A,Simple,Screenshots
74,"What is the recommended method to upload a file through input type=file?","Automate the operating-system picker","Send the absolute file path using sendKeys()","Use driver.get(filePath)","Copy file bytes through JavaScript",B,Simple,File Upload
75,"Which command adds a cookie to the current browser context?","driver.addCookie(cookie)","driver.manage().addCookie(cookie)","driver.cookies().add(cookie)","driver.navigate().addCookie(cookie)",B,Simple,Cookies
76,"Which command deletes all cookies available to the current context?","driver.clearCookies()","driver.manage().deleteAllCookies()","driver.cookies().clear()","driver.deleteCookies()",B,Simple,Cookies
77,"Which interface is used to execute JavaScript from Java Selenium?","ScriptDriver","JavascriptExecutor","BrowserScriptExecutor","JavaScriptWebElement",B,Simple,JavaScript
78,"Which method executes synchronous JavaScript through JavascriptExecutor?","runScript()","executeScript()","evaluateScript()","callScript()",B,Simple,JavaScript
79,"Which class is commonly used to configure Chrome-specific browser options?","ChromeOptions","ChromeSettings","BrowserOptions","ChromiumConfig",A,Simple,Browser Options
80,"Which option is commonly used to run Chrome without displaying its UI?","--silent","--headless","--background-only","--no-window-driver",B,Simple,Browser Options
81,"Which class connects a test to Selenium Grid or another remote WebDriver server?","GridDriver","RemoteWebDriver","NetworkWebDriver","DistributedDriver",B,Simple,Grid
82,"What is the entry point for external requests in Selenium Grid 4?","Node","Router","Distributor","Session Map",B,Simple,Grid
83,"Which Grid component executes browser sessions?","Node","Router","Event Bus","New Session Queue",A,Simple,Grid
84,"Which Grid component assigns new sessions to suitable Node slots?","Router","Distributor","Session Map","Event Bus",B,Simple,Grid
85,"What does the Grid Session Map store?","Test case results","The mapping between session IDs and Nodes","Browser binary locations","User credentials",B,Simple,Grid
86,"What is the primary purpose of Selenium Manager?","Generate reports","Automatically manage browser drivers and supported browsers","Create Page Objects","Run TestNG suites",B,Simple,Selenium Manager
87,"Which design pattern separates page-specific locators and operations from test logic?","Factory Method","Page Object Model","Singleton Driver","Observer Pattern",B,Simple,Page Objects
88,"Where should most business assertions be placed when using Page Objects?","Inside locator classes","In the test classes","In Selenium Manager","In browser options",B,Simple,Page Objects
89,"What is a Page Component Object used to represent?","An entire Selenium Grid","A reusable section of a page","A browser driver executable","A TestNG listener",B,Simple,Page Objects
90,"Which TestNG annotation normally runs before each test method?","@BeforeSuite","@BeforeTest","@BeforeMethod","@BeforeClassOnly",C,Simple,TestNG
91,"What is a key capability of FluentWait?","Configurable timeout polling interval and ignored exceptions","Automatic locator repair","Automatic browser installation only","Guaranteed page refresh after every poll",A,Medium,Waits
92,"Why should implicit and explicit waits generally not be mixed?","They disable browser navigation","They can create unpredictable total wait times","They prevent alerts from opening","They stop Grid sessions",B,Medium,Waits
93,"What is the difference between presenceOfElementLocated() and visibilityOfElementLocated()?","They are identical","Presence checks DOM existence; visibility also requires the element to be displayed","Presence checks clickability","Visibility validates locator syntax only",B,Medium,Waits
94,"What does elementToBeClickable() primarily check?","Visible and enabled","Present and selected","Attached and focused","Has an onclick attribute",A,Medium,Waits
95,"Which condition is useful when waiting for a loader to disappear?","presenceOfElementLocated()","invisibilityOfElementLocated()","elementToBeSelected()","frameToBeAvailableAndSwitchToIt()",B,Medium,Waits
96,"Which condition can wait for an iframe and switch WebDriver into it?","frameToBeAvailableAndSwitchToIt()","frameIsVisible()","switchWhenReady()","iframeToBeClickable()",A,Medium,Waits
97,"Which condition can wait until a JavaScript alert is available?","alertIsPresent()","alertIsVisible()","promptIsReady()","dialogToBeClickable()",A,Medium,Waits
98,"Which condition can wait until an old WebElement becomes detached?","elementToDisappear()","stalenessOf(element)","elementToRefresh()","detachedFromDom()",B,Medium,Waits
99,"Which condition is useful before switching to a newly opened browser tab?","numberOfWindowsToBe()","titleIsEmpty()","browserReady()","tabToBeClickable()",A,Medium,Windows
100,"Under the NORMAL page-load strategy which document readiness state is normally awaited?","loading","interactive","complete","initialized",C,Medium,Navigation
101,"Under the EAGER page-load strategy which state is normally sufficient?","complete","interactive","loading","closed",B,Medium,Navigation
102,"What does the NONE page-load strategy do?","Blocks until every resource loads","Returns without waiting for a document readiness state","Prevents all navigation","Waits only for images",B,Medium,Navigation
103,"What is the recommended response to StaleElementReferenceException after a DOM rerender?","Reuse the same stored element indefinitely","Re-locate the element after the update","Increase screen resolution","Disable JavaScript",B,Medium,Exceptions
104,"A button is visible but covered by an overlay. What should normally be done first?","Immediately execute JavaScript click","Wait for the overlay to disappear","Ignore the exception","Reinstall the browser driver",B,Medium,Synchronization
105,"What is a common cause of ElementNotInteractableException?","The element exists but cannot currently receive the requested interaction","The browser version is always unsupported","The Grid Router is offline","The selector matched no elements",A,Medium,Exceptions
106,"Which locator is generally most maintainable for a generated element ID that changes on every build?","The exact generated ID","A stable data-testid attribute","An absolute XPath","Screen coordinates",B,Medium,Locators
107,"What is wrong with using By.className(""btn primary"")?","className does not accept compound class names containing spaces","className works only in Firefox","className supports IDs only","It searches visible text",A,Medium,Locators
108,"Which CSS selector finds a button whose class list contains both btn and primary?","button.btn.primary","button#btn#primary","button[class='btn primary only']","//button[@class='btn primary']",A,Medium,Locators
109,"Which XPath finds an input whose ID starts with user_?","//input[starts-with(@id 'user_')]","//input[contains-start(@id 'user_')]","//input[@id begins 'user_']","//input[start(@id)='user_']",A,Medium,XPath
110,"Which XPath selects the immediate parent of a located element?","/parent::*","/ancestor-or-self::*","/preceding::*","/following::*",A,Medium,XPath
111,"Which XPath axis finds all ancestor elements of the current node?","child::","ancestor::","following-sibling::","descendant::",B,Medium,XPath
112,"Which XPath axis is useful for locating a sibling that follows the current element?","ancestor::","preceding::","following-sibling::","parent::",C,Medium,XPath
113,"How should Selenium 4 access an element inside an open Shadow DOM?","Treat the shadow root as a frame","Obtain the host's shadow root and search inside it","Use getWindowHandles()","Use only Java Robot",B,Medium,Shadow DOM
114,"Why can an element located in one iframe not be interacted with after switching to another iframe?","WebElements are tied to their browsing context","Selenium supports only one iframe per page","XPath cannot cross frames","The browser loses all elements after frame switching",A,Medium,Frames
115,"Why should a test compare new window handles with the original handle rather than use a fixed list index?","Window handle ordering should not be assumed","New tabs have no handles","Handles are always numeric","Selenium automatically sorts handles by title",A,Medium,Windows
116,"What may be required when uploading a local file through RemoteWebDriver?","LocalFileDetector","RemoteFileWriter","UploadGridNode","FileCapabilityManager",A,Medium,File Upload
117,"Which approach is preferred for verifying a downloaded file's contents?","Automate the browser download shelf","Use an HTTP client and validate the file directly","Use Thread.sleep() and assume completion","Inspect browser pixels",B,Medium,File Download
118,"What is the purpose of driver.manage().timeouts().pageLoadTimeout()?","Limit how long navigation waits for page loading","Configure element polling interval","Set Grid queue capacity","Set screenshot timeout",A,Medium,Timeouts
119,"What is the purpose of driver.manage().timeouts().scriptTimeout()?","Limit asynchronous JavaScript execution time","Limit locator creation time","Set browser installation time","Limit TestNG suite duration",A,Medium,Timeouts
120,"Which JavascriptExecutor method is intended for asynchronous JavaScript?","executeAsyncScript()","executeDelayedScript()","runAsync()","callPromise()",A,Medium,JavaScript
121,"What is a risk of using JavaScript click as the default click mechanism?","It may bypass normal user-interaction checks and hide application issues","It cannot click any element","It always refreshes the page","It disables WebDriver waits",A,Medium,JavaScript
122,"Which ChromeOptions method is commonly used to add command-line arguments?","addArguments()","addFlagsOnly()","setCommandLine()","configureArgument()",A,Medium,Browser Options
123,"What is the purpose of setting a browser's download directory through options or preferences?","Control where downloaded files are stored during tests","Increase implicit wait","Configure Grid routing","Create Page Objects",A,Medium,Browser Options
124,"Which Selenium Grid component holds new session requests until capacity is available?","New Session Queue","Session Map","Event Bus","Node",A,Medium,Grid
125,"How does the Grid Router locate the Node for an existing session?","It queries the Session Map using the session ID","It creates a new session","It asks every Node to execute the command","It uses the browser title",A,Medium,Grid
126,"What is the primary role of the Grid Event Bus?","Asynchronous communication among Grid components","Executing test assertions","Managing browser cookies","Creating screenshots",A,Medium,Grid
127,"What is the benefit of creating a new WebDriver instance per test?","Better isolation and simpler parallel execution","Guaranteed faster network speed","Automatic locator repair","Removal of all waits",A,Medium,Test Design
128,"Why should tests avoid sharing mutable test data?","Tests can interfere with one another and become order-dependent","Selenium cannot read data","Shared data disables cookies","It prevents browser maximization",A,Medium,Test Design
129,"What problem does ThreadLocal<WebDriver> commonly solve?","Providing a separate driver reference for each execution thread","Creating locators automatically","Starting Grid without Java","Replacing all synchronization",A,Medium,Parallel Execution
130,"What is the purpose of Selenium Java ThreadGuard?","Detect WebDriver access from an incorrect thread","Create Grid Nodes automatically","Replace ThreadLocal","Capture screenshots on failure",A,Medium,Parallel Execution
131,"Why should Page Objects expose business-level services rather than raw WebElements?","Tests become more readable and less coupled to page structure","WebElements cannot be returned from methods","It makes browsers load faster","It removes the need for assertions",A,Medium,Page Objects
132,"What is a suitable return type for a Page Object method that navigates to another page?","The Page Object representing the destination page","Always void","Always WebDriver","Always boolean",A,Medium,Page Objects
133,"Which TestNG DataProvider feature supports running supplied data sets in parallel?","@DataProvider(parallel = true)","@Test(parallelData = true)","@Factory(shared = true)","@Parameters(async = true)",A,Medium,TestNG
134,"What is the role of a TestNG listener in a Selenium framework?","React to execution events such as failures and attach reporting logic","Locate elements faster","Install browser drivers","Replace WebDriver",A,Medium,TestNG
135,"What is the main purpose of WebDriver BiDi?","Bidirectional browser communication and real-time event support","Generating Page Objects","Replacing Java test runners","Automating desktop applications",A,Medium,WebDriver BiDi
136,"A search action displays a loader and completely rerenders a result table. The test must click the row whose status becomes Approved. Which approach is most reliable?","Store the row before Search sleep five seconds and click it","Click Search wait for the loader to disappear repeatedly locate the updated row and click a fresh reference","Use JavaScript click on the stored row immediately","Increase implicit wait and reuse the original row",B,Complex,Synchronization
137,"A single-page application reports document.readyState as complete but widgets are still loading through API calls. What should determine readiness?","Another document.readyState check only","A fixed 30-second sleep","An application-specific condition such as loader disappearance API completion signal or widget visibility","Browser maximization",C,Complex,Synchronization
138,"A click sometimes fails because a notification banner overlaps the button for two seconds. What is the best framework-level solution?","Use JavaScript click for every element","Add a reusable wait for known transient overlays to disappear before normal clicks","Retry indefinitely without a timeout","Add a ten-second sleep before every click",B,Complex,Synchronization
139,"Parallel tests pass individually but fail together because they share a static WebDriver and the same customer record. What should be changed?","Synchronize only assertions","Use one driver and separate tabs","Give each test its own driver and isolated test data","Disable parallel execution permanently",C,Complex,Parallel Execution
140,"A login method can lead to HomePage PasswordResetPage or an error message depending on account state. Which Page Object design is best?","Return WebDriver and let every test inspect the DOM","Provide clearly named methods or result modeling for the expected outcomes","Put all assertions and branching inside one huge login method","Duplicate the login locators in every test",B,Complex,Page Objects
141,"A dynamic table updates every second. The test must wait until one row contains both a specific account number and status Ready. Which wait is strongest?","Locate the row once and wait on its old text","Use a custom explicit wait that re-queries the table and evaluates both conditions on every poll","Refresh the entire browser repeatedly","Ignore stale exceptions without a timeout",B,Complex,Synchronization
142,"A test switches to a payment iframe then to a nested authentication iframe and finally needs to access a header on the main page. What is the correct context action?","Call parentFrame() once","Call defaultContent()","Call navigate().back()","Switch to the first window handle",B,Complex,Frames
143,"A link opens a new tab but the application may already have several tabs open. How should the new tab be identified?","Assume the last item returned by getWindowHandles() is always new","Capture the original handle set wait for the count to increase then find the handle not present in the original set","Switch to window index 1","Match the browser process ID",B,Complex,Windows
144,"A file upload works locally but fails on Selenium Grid because the file exists only on the test client machine. What is the correct adjustment?","Copy the path string without the file","Configure LocalFileDetector on RemoteWebDriver and send the local file path","Use Thread.sleep() before upload","Mount the browser download folder only",B,Complex,Grid
145,"A framework retries every failed click using JavaScript. Tests pass but users report buttons are genuinely blocked by overlays. What is the main framework defect?","It uses too many explicit waits","JavaScript fallback masks real interactability and synchronization defects","Selenium cannot test overlays","The browser should always be headless",B,Complex,Test Design
146,"A Selenium Grid has pending sessions even though Nodes are online. The requested browser/version combination is unavailable on all free slots. Which component behavior explains the delay?","The Session Map rejects all requests","The New Session Queue holds the request until the Distributor finds a matching slot or the request times out","The Event Bus starts a local browser","The Router converts the requested capability automatically",B,Complex,Grid
147,"A Grid command for an existing session reaches the Router. Which sequence correctly routes it?","Router then New Session Queue then Distributor then new Node session","Router queries Session Map obtains the Node and forwards the command to that Node","Router broadcasts the command to every Node","Router sends the command to Selenium Manager",B,Complex,Grid
148,"A test suite creates prerequisite customers through the UI making every test slow and fragile. The application exposes a supported test API. What architecture is preferable?","Continue UI setup to test more screens","Create state through the API then use Selenium only for the user journey being validated","Replace all assertions with screenshots","Run all tests in one browser session",B,Complex,Test Design
149,"A browser console error must be captured as it happens during navigation across supported browsers. Which Selenium direction best fits this need?","WebDriver BiDi event listeners","Implicit wait","Relative locators","PageFactory annotations",A,Complex,WebDriver BiDi
150,"A checkout button becomes visible then disabled during validation then enabled after an API response. What is the best click strategy?","Wait only for presence and click immediately","Use a bounded explicit wait that repeatedly locates the button verifies visibility and enabled state confirms blocking overlays are absent then performs a normal click","Sleep for a fixed period and use JavaScript click","Retry normal click forever",B,Complex,Synchronization
